fold,variable,model,n,bias,mae,rmse,pearson_r,nse,wet_accuracy,pod,far,csi,frequency_bias,wet_amount_rmse
4,RH2M,raw_nasa,57994,-1.601815276235472,10.295922786322725,14.070558692195393,0.7083100994108176,0.28792984811092937,,,,,,
4,RH2M,anchor_idw_bmd,57851,0.7563943004407964,5.2313646776131115,7.285314405716496,0.9038257832484115,0.8090639692879968,,,,,,
4,RH2M,global_month_hour_bias,57994,1.2066224785709538,8.712185185005232,11.594399152266755,0.7849941510941238,0.5164998731035882,,,,,,
4,RH2M,idw_residual,57994,1.4288024330124984,5.8142759613468495,7.85272716978645,0.8932368387654114,0.7782104318824467,,,,,,
4,RH2M,linear_stack,57994,1.3594717694211544,5.424780295554189,7.4001989202145575,0.9015972474917003,0.8030359864642294,,,,,,
4,RH2M,ml_regressor,57994,1.2684320139627356,5.683462498627301,7.852587723166428,0.8860575957607244,0.7782183087716745,,,,,,
5,RH2M,raw_nasa,58562,-2.7803811247908197,11.552877411461356,15.5623044148113,0.7022590969074584,0.280343880902186,,,,,,
5,RH2M,anchor_idw_bmd,58424,0.605064100101623,5.8609791893863745,8.425648184774422,0.888926067486689,0.7891019316234111,,,,,,
5,RH2M,global_month_hour_bias,58562,-0.2107114962422419,9.209048237385325,12.198645542176491,0.7913425451888607,0.5578186369358352,,,,,,
5,RH2M,idw_residual,58562,-0.3836400119756294,6.4441905944065825,8.988987061433717,0.878558783296852,0.7598963730448905,,,,,,
5,RH2M,linear_stack,58562,0.8476718006120894,5.807863474007734,8.338029759098132,0.8926791773390091,0.7934124755543824,,,,,,
5,RH2M,ml_regressor,58562,0.324073017672841,5.967640183032259,8.386584523160417,0.889820582620524,0.7909994319575124,,,,,,
1,PRECTOTCORR,raw_nasa,5345,5.1628138447146865,5.172303086997194,14.935043632571979,0.37082189683811567,-915.3971011646031,0.6117867165575304,0.9682926829268292,0.8385522570150468,0.16059870550161812,5.9975609756097565,37.34562916369521
1,PRECTOTCORR,anchor_idw_bmd,772,0.3696128462944922,0.770838984362473,1.5296717663834507,0.2937960300473536,-0.79211229293078,0.5803108808290155,0.9857954545454546,0.47897897897897895,0.5171385991058122,1.8920454545454546,2.017887564090715
1,PRECTOTCORR,global_month_hour_bias,5345,-10.330975434949604,14.291276999867735,21.76875862517466,0.15951938580395797,-1945.8748864766408,0.8327408793264733,0.275609756097561,0.8408450704225352,0.11221449851042702,1.7317073170731707,41.6917932159825
1,PRECTOTCORR,idw_residual,5345,2.028533381601848,4.117153620907147,12.938037024573482,-0.054140150080134654,-686.7134125217833,0.6112254443405052,0.5048780487804878,0.9005763688760807,0.09059080962800875,5.078048780487805,15.766410767095818
